song,artist,date,loveSong
Word Crimes,"""Weird Al"" Yankovic",1/8/2014,0
I'm Different,2 Chainz,30/11/2012,0
Watch Out,2 Chainz,15/1/2016,0
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,7/6/2013,0
Rule The World,2 Chainz Featuring Ariana Grande,15/3/2019,1
No Lie,2 Chainz Featuring Drake,25/5/2012,0
I Do It,2 Chainz Featuring Drake & Lil Wayne,27/9/2013,0
Birthday Song,2 Chainz Featuring Kanye West,10/8/2012,0
Momma I Hit A Lick,2 Chainz Featuring Kendrick Lamar,15/3/2019,0
Yuck!,2 Chainz Featuring Lil Wayne,31/8/2012,0
Gotta Lotta,2 Chainz Featuring Lil Wayne,25/3/2016,0
Feds Watching,2 Chainz Featuring Pharrell,19/7/2013,0
4:00 am,2 Chainz Featuring Travis Scott,23/6/2017,0
Whip,2 Chainz Featuring Travis Scott,15/3/2019,0
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",30/6/2017,0
Proud,2 Chainz Featuring YG & Offset,13/4/2018,0
Good Drank,2 Chainz x Gucci Mane x Quavo,10/2/2017,0
Bigger > You,"2 Chainz, Drake & Quavo",29/6/2018,0
Red Opps,21 Savage,6/1/2017,0
Bank Account,21 Savage,28/7/2017,0
Famous,21 Savage,28/7/2017,0
A Lot,21 Savage,4/1/2019,0
Can't Leave Without It,21 Savage,4/1/2019,0
All My Friends,21 Savage,4/1/2019,0
Break Da Law,21 Savage,4/1/2019,0
Monster,21 Savage,4/1/2019,0
1.5,21 Savage,4/1/2019,0
Out For The Night,21 Savage,4/1/2019,0
Gun Smoke,21 Savage,4/1/2019,0
ASMR,21 Savage,4/1/2019,0
Immortal,21 Savage,15/11/2019,0
No Heart,21 Savage & Metro Boomin,11/11/2016,0
My Choppa Hate N****s,21 Savage & Metro Boomin,17/11/2017,0
Runnin,21 Savage & Metro Boomin,16/10/2020,0
Glock In My Lap,21 Savage & Metro Boomin,16/10/2020,0
Slidin,21 Savage & Metro Boomin,16/10/2020,0
Many Men,21 Savage & Metro Boomin,16/10/2020,0
My Dawg,21 Savage & Metro Boomin,16/10/2020,0
Brand New Draco,21 Savage & Metro Boomin,16/10/2020,0
No Opp Left Behind,21 Savage & Metro Boomin,16/10/2020,0
Steppin On N*ggas,21 Savage & Metro Boomin,16/10/2020,0
RIP Luv,21 Savage & Metro Boomin,16/10/2020,1
Said N Done,21 Savage & Metro Boomin,16/10/2020,0
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,16/10/2020,0
X,21 Savage & Metro Boomin Featuring Future,30/9/2016,0
Snitches & Rats,21 Savage & Metro Boomin Featuring Young Nudy,16/10/2020,0
Rich N*gga Sh*t,21 Savage & Metro Boomin Featuring Young Thug,16/10/2020,0
Mad Stalkers,"21 Savage, Offset & Metro Boomin",24/11/2017,0
Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",17/11/2017,0
Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",17/11/2017,0
Valentino,24kGoldn,22/11/2019,0
Mood,24kGoldn Featuring iann dior,21/8/2020,1
When You're Young,3 Doors Down,18/2/2011,0
Touchin On My,3OH!3,4/6/2010,0
Deja Vu,3OH!3,18/6/2010,0
Double Vision,3OH!3,2/7/2010,0
I Can Do Anything,3OH!3,16/7/2010,0
Hit It Again,3OH!3,7/1/2011,1
Set You Free,3OH!3,20/1/2012,1
My First Kiss,3OH!3 Featuring Ke$ha,21/5/2010,0
Follow Me Down                ,3OH!3 Featuring Neon Hitch,5/3/2010,0
She Looks So Perfect,5 Seconds Of Summer,18/4/2014,1
Don't Stop,5 Seconds Of Summer,30/5/2014,0
Good Girls,5 Seconds Of Summer,13/6/2014,0
Kiss Me Kiss Me,5 Seconds Of Summer,4/7/2014,1
Amnesia,5 Seconds Of Summer,18/7/2014,1
Everything I Didn't Say,5 Seconds Of Summer,1/8/2014,1
She's Kinda Hot,5 Seconds Of Summer,7/8/2015,0
Fly Away,5 Seconds Of Summer,4/9/2015,0
Jet Black Heart,5 Seconds Of Summer,18/9/2015,0
Girls Talk Boys,5 Seconds Of Summer,5/8/2016,1
Want You Back,5 Seconds Of Summer,9/3/2018,1
Youngblood,5 Seconds Of Summer,15/6/2018,1
Easier,5 Seconds Of Summer,7/6/2019,1
Outlaw,50 Cent,5/8/2011,0
New Day,50 Cent Featuring Dr. Dre & Alicia Keys,17/8/2012,0
My Life,50 Cent Featuring Eminem & Adam Levine,14/12/2012,0
Baby By Me,50 Cent Featuring Ne-Yo,1/1/2010,0
Gummo,6ix9ine,1/12/2017,0
Kooda,6ix9ine,22/12/2017,0
Billy,6ix9ine,9/3/2018,0
Gotti,6ix9ine,27/4/2018,0
Gooba,6ix9ine,22/5/2020,0
YaYa,6ix9ine,17/7/2020,0
Trollz,6ix9ine & Nicki Minaj,26/6/2020,0
WAKA,6ix9ine Featuring A Boogie Wit da Hoodie,7/12/2018,0
BEBE,6ix9ine Featuring Anuel AA,14/9/2018,0
STOOPID,6ix9ine Featuring Bobby Shmurda,19/10/2018,0
TATI,6ix9ine Featuring DJ SPINKING,8/6/2018,0
TIC TOC,6ix9ine Featuring Lil Baby,7/12/2018,0
MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,7/12/2018,0
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,3/8/2018,0
KIKA,6ix9ine Featuring Tory Lanez,7/12/2018,0
RONDO,6ix9ine Featuring Tory Lanez & Young Thug,9/3/2018,0
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",26/1/2018,0
Prblms,6LACK,31/3/2017,1
Pretty Little Fears,6LACK Featuring J. Cole,28/9/2018,1
Know My Rights,6LACK Featuring Lil Baby,10/7/2020,0
My Sh*t,A Boogie Wit da Hoodie,4/11/2016,0
No Promises,A Boogie Wit da Hoodie,20/10/2017,1
Say A',A Boogie Wit da Hoodie,20/10/2017,0
Look Back At It,A Boogie Wit da Hoodie,21/12/2018,0
Mood Swings,A Boogie Wit da Hoodie,27/9/2019,0
King Of My City,A Boogie Wit da Hoodie,14/2/2020,0
Me And My Guitar,A Boogie Wit da Hoodie,28/2/2020,1
Thug Love,A Boogie Wit da Hoodie,28/2/2020,1
Cinderella Story,A Boogie Wit da Hoodie,28/2/2020,1
Bleed,A Boogie Wit da Hoodie,3/7/2020,0
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,20/10/2017,0
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,4/1/2019,0
Stain,A Boogie Wit da Hoodie Featuring DaBaby,28/2/2020,0
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,13/1/2017,0
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,4/1/2019,0
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,21/4/2017,0
Reply,A Boogie Wit da Hoodie Featuring Lil Uzi Vert,29/11/2019,1
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,4/1/2019,0
Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,20/10/2017,0
Numbers,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",28/2/2020,0
Might Not Give Up,A Boogie Wit da Hoodie Featuring Young Thug,28/2/2020,0
Say Something,A Great Big World & Christina Aguilera,22/11/2013,1
Hold Each Other,A Great Big World Featuring FUTURISTIC,9/10/2015,1
Like We Used To,A Rocket To The Moon,22/10/2010,1
Smoke,A Thousand Horses,13/3/2015,1
We The People....,A Tribe Called Quest,2/12/2016,0
Work,A$AP Ferg,7/6/2013,0
Move Ya Hips,A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,14/8/2020,0
New Level,A$AP Ferg Featuring Future,15/4/2016,0
Plain Jane,A$AP Ferg Featuring Nicki Minaj,13/10/2017,0
Long Live A$AP,A$AP Rocky,1/2/2013,0
L$D,A$AP Rocky,12/6/2015,0
Babushka Boi,A$AP Rocky,13/9/2019,0
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",16/11/2012,0
A$AP Forever,A$AP Rocky Featuring Moby,20/4/2018,0
Everyday,A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,19/6/2015,1
Electric Body,A$AP Rocky Featuring ScHoolboy Q,12/6/2015,0
Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,8/6/2018,0
Wild For The Night,A$AP Rocky Featuring Skrillex,1/2/2013,0
Country Boy,Aaron Lewis Featuring George Jones & Charlie Daniels,11/3/2011,0
Hustle Hard,Ace Hood,22/4/2011,0
